model_url,specifications
https://www.mpb.com/en-eu/product/nikon-nikkor-z-50mm-f-1-8-s,"{'Minimum Focus Distance (m)': '0.4', 'Filter Thread (mm)': '62', 'Maximum Aperture - Tele (f)': '1.8', 'Aperture Blades': '9', 'Maximum Aperture - Wide (f)': '1.8', 'Year of release': '2019', 'Lens Mount': 'Nikon Z', 'Image Stabilisation': False, 'Minimum Aperture (F)': '16', 'Auto Focus': True, 'Weight (Grams)': '415'}"
https://www.mpb.com/en-eu/product/nikon-ftz-ii-mount-adapter,"{'Weight (Grams)': '272', 'Lens Mount': 'Nikon FX', 'Year of release': '2021'}"
https://www.mpb.com/en-eu/product/nikon-z5,"{'Built-In Bluetooth': True, 'Microphone Jack': True, 'Max FPS Max resolution': '1920×1080 (Full HD)', 'Maximum Frames Per Second': '4.5', 'USB Port Type': 'Type-C', 'Weight (Grams)': '675', 'File Format': 'JPEG + RAW', 'Touchscreen': True, 'HDMI Port': True, 'Lens Mount': 'Nikon Z', 'Minimum ISO': '100', 'Camera Type': 'Mirrorless', 'Storage Media Type': 'SD / SDHC / SDXC', 'LCD Resolution (Pixels)': '3686400', 'Headphone Jack': True, 'Viewfinder Type': 'Electronic', 'Maximum Video Frame Rate (FPS)': '60', 'Year of release': '2020', 'Articulating LCD Screen': True, 'Shutter Rating (Life)': '200000', 'Megapixels': '24.3', 'Integrated cleaning': True, 'Hot Shoe Connection': True, 'Built-In Microphone': True, 'Minimum Shutter Speed (x) [Seconds]': '30', 'Maximum ISO': '51200', 'Maximum Video Resolution': '3840×2160 (4K UHD)', 'Sensor Type': 'CMOS', 'Built-In Wi-Fi': True, 'LCD Size (Inches)': '3.2', 'Built-In Flash': False, 'Sensor Format': 'Full Frame', 'Maximum Shutter Speed (1/) [Seconds]': '1/8000', 'Viewfinder Coverage (%)': '100', 'Autofocus Points': '273', 'Flash Compatibility': 'Nikon i-TTL', 'Live View': True}"
https://www.mpb.com/en-eu/product/nikon-af-micro-nikkor-60mm-f-2-8,"{'Minimum Focus Distance (m)': '0.22', 'Filter Thread (mm)': '62', 'Maximum Aperture - Tele (f)': '2.8', 'Aperture Blades': '7', 'Maximum Aperture - Wide (f)': '2.8', 'Year of release': '2007', 'Lens Mount': 'Nikon FX', 'Image Stabilisation': False, 'Minimum Aperture (F)': '32', 'Auto Focus': True, 'Weight (Grams)': '440'}"
https://www.mpb.com/en-eu/product/godox-xpro-wireless-trigger-nikon-dedicated,"{'Weight (Grams)': '90', 'Year of release': '2017'}"
https://www.mpb.com/en-eu/product/sony-alpha-slt-a65,"{'Built-In Bluetooth': False, 'Microphone Jack': True, 'Max FPS Max resolution': '1920×1080 (Full HD)', 'Maximum Frames Per Second': '10', 'USB Port Type': 'Mini type B 2.0', 'Weight (Grams)': '622', 'File Format': 'JPEG + RAW', 'Touchscreen': False, 'HDMI Port': True, 'Lens Mount': 'Sony A', 'Minimum ISO': '100', 'Camera Type': 'Digital SLR', 'Storage Media Type': 'SD / SDHC / SDXC & MS Pro Duo', 'LCD Resolution (Pixels)': '921600', 'Headphone Jack': False, 'Viewfinder Type': 'Electronic', 'Maximum Video Frame Rate (FPS)': '60', 'Year of release': '2012', 'Articulating LCD Screen': True, 'Megapixels': '24.3', 'Integrated cleaning': True, 'Hot Shoe Connection': True, 'Built-In Microphone': True, 'Minimum Shutter Speed (x) [Seconds]': '30', 'Maximum ISO': '16000', 'Maximum Video Resolution': '1920×1080 (Full HD)', 'Sensor Type': 'CMOS', 'Built-In Wi-Fi': False, 'LCD Size (Inches)': '3', 'Built-In Flash': True, 'Sensor Format': 'APS-C', 'Maximum Shutter Speed (1/) [Seconds]': '1/4000', 'Viewfinder Coverage (%)': '100', 'Autofocus Points': '15', 'Flash Compatibility': 'Sony ADI / P-TTL', 'Live View': True}"
https://www.mpb.com/en-eu/product/tamron-af-18-200mm-f-3-5-6-3-xr-di-ii-ld-aspherical-if-macro-sony-a-fit,{'Year of release': '2005'}
https://www.mpb.com/en-eu/product/sony-alpha-a380,"{'Weight (Grams)': '519', 'Camera Type': 'Digital SLR', 'Megapixels': '14.2', 'Autofocus Points': '9', 'Maximum Frames Per Second': '2.5', 'Sensor Format': 'APS-C', 'Minimum ISO': '100', 'Maximum ISO': '3200', 'Storage Media Type': 'SD / SDHC / SDXC / MS Pro Duo & MS Duo', 'Lens Mount': 'Sony A', 'Viewfinder Type': 'Optical', 'Viewfinder Coverage (%)': '95', 'LCD Size (Inches)': '2.7', 'LCD Resolution (Pixels)': '230400', 'Articulating LCD Screen': True, 'Built-In Flash': True, 'HDMI Port': True, 'Hot Shoe Connection': True, 'File Format': 'RAW', 'Minimum Shutter Speed (x) [Seconds]': '30', 'Maximum Shutter Speed (1/) [Seconds]': '1/4000', 'Flash Compatibility': 'Sony ADI / P-TTL', 'Sensor Type': 'CCD', 'Live View': True, 'Integrated cleaning': True, 'Year of release': '2009'}"
https://www.mpb.com/en-eu/product/minolta-af-50mm-f-1-7-sony-a-fit,"{'Weight (Grams)': '186', 'Lens Mount': 'Nikon 1', 'Auto Focus': True, 'Minimum Aperture (F)': '22', 'Maximum Aperture - Wide (f)': '1.7', 'Maximum Aperture - Tele (f)': '1.7', 'Filter Thread (mm)': '49', 'Minimum Focus Distance (m)': '0.45', 'Aperture Blades': '7', 'Year of release': '1985'}"
https://www.mpb.com/en-eu/product/nikon-nikkor-z-24mm-f-1-8-s,"{'Weight (Grams)': '450', 'Lens Mount': 'Nikon Z', 'Auto Focus': True, 'Minimum Aperture (F)': '16', 'Maximum Aperture - Wide (f)': '1.8', 'Maximum Aperture - Tele (f)': '1.8', 'Filter Thread (mm)': '72', 'Minimum Focus Distance (m)': '0.25', 'Aperture Blades': '9', 'Year of release': '2019'}"
https://www.mpb.com/en-eu/product/sigma-50mm-f-1-4-dg-hsm-art-nikon-fit,"{'Minimum Focus Distance (m)': '0.4', 'Filter Thread (mm)': '77', 'Maximum Aperture - Tele (f)': '1.8', 'Aperture Blades': '9', 'Maximum Aperture - Wide (f)': '1.8', 'Year of release': '2014', 'Lens Mount': 'Nikon FX', 'Image Stabilisation': False, 'Minimum Aperture (F)': '16', 'Auto Focus': True, 'Weight (Grams)': '815'}"
https://www.mpb.com/en-eu/product/canon-ef-100mm-f-2-8-macro-usm,"{'Minimum Focus Distance (m)': '0.31', 'Filter Thread (mm)': '58', 'Maximum Aperture - Tele (f)': '2.8', 'Aperture Blades': '8', 'Maximum Aperture - Wide (f)': '2.8', 'Year of release': '2000', 'Lens Mount': 'Canon EF', 'Image Stabilisation': False, 'Minimum Aperture (F)': '32', 'Auto Focus': True, 'Weight (Grams)': '600'}"
https://www.mpb.com/en-eu/product/canon-ef-85mm-f-1-8-usm,"{'Minimum Focus Distance (m)': '0.85', 'Filter Thread (mm)': '58', 'Maximum Aperture - Tele (f)': '1.8', 'Aperture Blades': '8', 'Maximum Aperture - Wide (f)': '1.8', 'Year of release': '1992', 'Lens Mount': 'Canon EF', 'Image Stabilisation': False, 'Minimum Aperture (F)': '22', 'Auto Focus': True, 'Weight (Grams)': '425'}"
https://www.mpb.com/en-eu/product/canon-eos-6d,"{'Built-In Bluetooth': False, 'Microphone Jack': True, 'Max FPS Max resolution': '1280×720 (HD)', 'Maximum Frames Per Second': '4.5', 'USB Port Type': 'Mini type B 2.0', 'Weight (Grams)': '1448', 'File Format': 'JPEG + RAW', 'Touchscreen': False, 'HDMI Port': True, 'Lens Mount': 'Canon EF', 'Minimum ISO': '50', 'Camera Type': 'Digital SLR', 'Storage Media Type': 'SD / SDHC / SDXC', 'LCD Resolution (Pixels)': '1040000', 'Headphone Jack': False, 'Viewfinder Type': 'Optical', 'Maximum Video Frame Rate (FPS)': '60', 'Year of release': '2012', 'Articulating LCD Screen': False, 'Shutter Rating (Life)': '100000', 'Megapixels': '20.2', 'Integrated cleaning': True, 'Hot Shoe Connection': True, 'Built-In Microphone': True, 'Minimum Shutter Speed (x) [Seconds]': '30', 'Maximum ISO': '102400', 'Maximum Video Resolution': '1920×1080 (Full HD)', 'Sensor Type': 'CMOS', 'Built-In Wi-Fi': True, 'LCD Size (Inches)': '3', 'Built-In Flash': False, 'Sensor Format': 'Full Frame', 'Maximum Shutter Speed (1/) [Seconds]': '1/4000', 'Viewfinder Coverage (%)': '97', 'Autofocus Points': '11', 'Flash Compatibility': 'Canon TTL', 'Live View': True}"
https://www.mpb.com/en-eu/product/canon-ef-50mm-f-1-8-ii,"{'Minimum Focus Distance (m)': '0.45', 'Filter Thread (mm)': '52', 'Maximum Aperture - Tele (f)': '1.8', 'Aperture Blades': '5', 'Maximum Aperture - Wide (f)': '1.8', 'Year of release': '1990', 'Lens Mount': 'Canon EF', 'Image Stabilisation': False, 'Minimum Aperture (F)': '22', 'Auto Focus': True, 'Weight (Grams)': '130'}"
