sku,notes
3365383,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3401194,
3418321,"Er zit vocht op de interne lens, maar de beeldkwaliteit is niet aangetast."
3418666,
3490974,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3507174,
3416147,
3510435,
3504595,
3505333,
3491647,
3495276,
3502689,
3508794,
3250469,
3490546,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3495487,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3495454,
3495455,
3499192,
3492433,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3506983,
3492426,"Een deel van de beschermende coating van het LCD-scherm is losgekomen, maar dit heeft geen invloed op de werking."
3491790,
3491780,
3510645,
3432540,
3490915,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3510830,
3491966,
3503206,"De rubberen greep vertoont aanzienlijke slijtage, maar dit heeft geen invloed op de werking."
3498908,
3350991,
3494653,De zoomring werkt stroef.
3494550,
3494394,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3510167,
3423606,
3494703,
3260545,
3491503,
3416486,
3495266,
3495320,"Het LCD-scherm heeft een klein aantal lichte, niet verwijderbare beschadigingen, maar dit heeft geen invloed op de werking."
3490929,
3505672,
3492432,
3490927,
3512264,"Het LCD-scherm heeft een klein aantal lichte, niet verwijderbare beschadigingen, maar dit heeft geen invloed op de werking."
3490932,
3490928,
3490931,
3495424,
3495423,
3499125,
3494651,"Het autofocussysteem is defect, maar handmatige scherpstelling werkt nog steeds volledig."
3499529,
3494938,
3281154,"Er zit vocht op de interne lens, maar de beeldkwaliteit is niet aangetast."
3494579,"De interne lens heeft een kleine hoeveelheid schimmel, maar dit heeft geen invloed op de werking."
3495249,
3492430,
3511329,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3451098,
3477704,
3448419,
3460911,
3461287,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3461299,
3460543,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3460710,
3416241,
3456722,
3424492,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3424426,
3419220,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3384696,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3412585,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3421813,
3412289,
3418830,
3415640,
3419139,
3388520,
3384695,
3421336,
3424327,
3418534,
3409299,
3420955,
3388517,
3415884,
3423193,Op het voorste gedeelte van de lens zit een filter die vastzit.
3415658,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3421030,
3421073,
3377874,
3418729,
3421018,
3416055,
3418447,
3418715,
3411920,
3418337,
3412695,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3419138,
3406460,
3423415,
3418370,
3421019,
3391494,
3418976,
3491229,
3499442,
3415851,
3494328,
3495025,
3499210,
3495298,
3495005,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3364810,
3499008,
3495341,
3499683,
3490525,
3512205,
3368167,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3494316,
3512293,
3495309,
3494678,
3460604,
3506430,
3495281,
3460674,
3460942,
3473130,
2928869,"De rubberen greep vertoont aanzienlijke slijtage, maar dit heeft geen invloed op de werking., Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3456628,"Een deel van de beschermende coating van het LCD-scherm is losgekomen, maar dit heeft geen invloed op de werking."
3465185,
3459990,
3459989,
3463136,
3460693,"Er zit vocht op de interne lens, maar de beeldkwaliteit is niet aangetast."
3457139,
3477654,
3453705,
3460906,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3461104,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3452440,
3460079,
3409434,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3461145,
3460431,
3362605,"Het voorste gedeelte heeft lichte, niet verwijderbare beschadigingen, maar dit heeft geen invloed op het geproduceerde beeld."
3465250,
3463324,
3463093,
3463325,
3460031,
3473531,
3463411,
3460027,
3453704,
3464849,
3163953,"Het autofocussysteem werkt met onderbrekingen, maar handmatige scherpstelling is nog steeds volledig operationeel wanneer autofocus niet werkt."
3472942,
3460865,
3465133,
3464913,
3396607,
3418718,
3418547,
3239684,
3421037,
3336167,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3418692,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3421373,
3499345,
3404860,
3500434,
3515439,
3511179,
3515398,
3487271,
3490350,
3490496,
3495441,
3491501,"Het LCD-scherm heeft een klein aantal lichte, niet verwijderbare beschadigingen, maar dit heeft geen invloed op de werking."
3499205,
3494736,
3499422,
3484108,
3445672,"De rubberen greep vertoont aanzienlijke slijtage, maar dit heeft geen invloed op de werking."
3494698,"De rubberen greep vertoont aanzienlijke slijtage, maar dit heeft geen invloed op de werking., Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3495355,
3494613,
3491785,
3495273,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3495507,
3511169,
3501741,
3499112,
3494606,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3490421,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3494533,
3499213,
3490493,
3494803,
3495340,
3494739,
3494576,
3491781,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3487684,
3498828,
3487688,
3456807,
3440773,
3460096,
3450422,
3459987,
3463216,
3451025,"Er zit vocht op de interne lens, maar de beeldkwaliteit is niet aangetast."
3460917,
3457212,
3463350,
3457211,
3460447,
3324171,"Er is een accessoire kapot., Het frontelement heeft meerdere kleine markeringen, maar dit heeft geen invloed op het uiteindelijke beeld."
3465097,
3460875,
3461213,
3453593,
3460502,
3460441,
3465150,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3460281,
3465559,
3459992,
3461088,
3470581,
3460613,"Het LCD-scherm heeft een klein aantal lichte, niet verwijderbare beschadigingen, maar dit heeft geen invloed op de werking."
3460629,
3463424,
3464573,
3463264,
3465476,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3460278,
3460279,
3296549,"Er is een knop ingedrukt in de camerabehuizing, maar deze werkt nog steeds."
3453203,
3450416,
3467069,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3418689,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3411681,
3421416,
3420887,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3303214,
3421539,
3421329,
3421948,
3418843,
3421947,
3420864,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3424088,
3421207,
3415842,
3421208,
3421506,
3421015,
3421637,
3421280,
3425702,
3426346,
3418839,
3400456,
3426759,
3426273,
3424175,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3420868,
3421050,
3373664,
3421434,
3421298,
3429348,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3421242,
3420924,
3421407,
3421764,
3421755,
3423854,
3426507,
3421227,
3423459,
3419116,
3373002,
3388841,
3427433,
